Workout DateTime,Program,Day Name,Exercise,Is Warmup Set?,Required Reps,Completed Reps,RPE,Is AMRAP?,Weight Value,Weight Unit,Completed Reps Time,Target Muscles,Synergist Muscles,Notes
2024-07-18T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,100,lb,,,,
2024-07-18T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,100,lb,,,,
2024-07-18T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,12,,1,100,lb,,,,
2024-07-18T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,67.5,lb,,,,
2024-07-18T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,67.5,lb,,,,
2024-07-18T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,10,,1,67.5,lb,,,,
2024-07-18T05:02:29.801Z,Phraks Greyskull LP,,Deadlift,0,5,15,,1,115,lb,,,,
2024-07-16T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,5,,0,65,lb,,,,
2024-07-16T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,5,,0,65,lb,,,,
2024-07-16T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,11,,1,65,lb,,,,
2024-07-16T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,5,,0,92.5,lb,,,,
2024-07-16T05:02:29.801Z,Phraks Greyskull LP,,23,0,5,5,,0,92.5,lb,,,,
2024-07-16T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,9,,1,92.5,lb,,,,
2024-07-16T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,135,lb,,,,
2024-07-16T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,135,lb,,,,
2024-07-16T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,10,,1,135,lb,,,,
2024-07-13T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,95,lb,,,,
2024-07-13T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,95,lb,,,,
2024-07-13T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,13,,1,95,lb,,,,
2024-07-13T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,65,lb,,,,
2024-07-13T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,65,lb,,,,
2024-07-13T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,7,,1,65,lb,,,,
2024-07-13T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,130,lb,,,,
2024-07-13T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,130,lb,,,,
2024-07-13T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,9,,1,130,lb,,,,
2024-07-11T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,5,,0,60,lb,,,,
2024-07-11T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,5,,0,60,lb,,,,
2024-07-11T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,11,,1,60,lb,,,,
2024-07-11T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,5,,0,80,lb,,,,
2024-07-11T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,5,,0,80,lb,,,,
2024-07-11T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,4,,1,80,lb,,,,
2024-07-11T05:02:29.801Z,Phraks Greyskull LP,,Deadlift,0,5,15,,1,110,lb,,,,
2024-07-09T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,90,lb,,,,
2024-07-09T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,90,lb,,,,
2024-07-09T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,15,,1,90,lb,,,,
2024-07-09T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,60,lb,,,,
2024-07-09T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,60,lb,,,,
2024-07-09T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,10,,1,60,lb,,,,
2024-07-09T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,120,lb,,,,
2024-07-09T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,120,lb,,,,
2024-07-09T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,10,,1,120,lb,,,,
2024-07-02T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,5,,0,55,lb,,,,
2024-07-02T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,5,,0,55,lb,,,,
2024-07-02T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,11,,1,55,lb,,,,
2024-07-02T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,5,,0,85,lb,,,,
2024-07-02T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,5,,0,85,lb,,,,
2024-07-02T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,5,,0,85,lb,,,,
2024-07-02T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,110,lb,,,,
2024-07-02T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,110,lb,,,,
2024-07-02T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,11,,1,110,lb,,,,
2024-06-29T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,85,lb,,,,
2024-06-29T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,85,lb,,,,
2024-06-29T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,19,,1,85,lb,,,,
2024-06-29T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,55,lb,,,,
2024-06-29T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,55,lb,,,,
2024-06-29T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,11,,1,55,lb,,,,
2024-06-29T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,100,lb,,,,
2024-06-29T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,100,lb,,,,
2024-06-29T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,12,,1,100,lb,,,,
2024-06-25T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,5,,0,50,lb,,,,
2024-06-25T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,5,,0,50,lb,,,,
2024-06-25T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,13,,1,50,lb,,,,
2024-06-25T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,5,,0,90,lb,,,,
2024-06-25T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,5,,0,90,lb,,,,
2024-06-25T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,6,,1,90,lb,,,,
2024-06-25T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,105,lb,,,,
2024-06-25T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,105,lb,,,,
2024-06-25T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,8,,1,105,lb,,,,
2024-06-20T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,80,lb,,,,
2024-06-20T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,80,lb,,,,
2024-06-20T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,13,,1,80,lb,,,,
2024-06-20T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,50,lb,,,,
2024-06-20T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,50,lb,,,,
2024-06-20T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,11,,1,50,lb,,,,
2024-06-20T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,100,lb,,,,
2024-06-20T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,100,lb,,,,
2024-06-20T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,8,,1,100,lb,,,,
2024-06-18T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,5,,0,45,lb,,,,
2024-06-18T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,5,,0,45,lb,,,,
2024-06-18T05:02:29.801Z,Phraks Greyskull LP,,Overhead Press,0,5,15,,1,45,lb,,,,
2024-06-18T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,5,,0,95,lb,,,,
2024-06-18T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,5,,0,95,lb,,,,
2024-06-18T05:02:29.801Z,Phraks Greyskull LP,,"Chin Up, Leverage Machine",0,5,6,,1,95,lb,,,,
2024-06-18T05:02:29.801Z,Phraks Greyskull LP,,Deadlift,0,5,8,,1,95,lb,,,,
2024-06-13T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,80,lb,,,,
2024-06-13T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,5,,0,80,lb,,,,
2024-06-13T05:02:29.801Z,Phraks Greyskull LP,,Bench Press,0,5,13,,1,80,lb,,,,
2024-06-13T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,50,lb,,,,
2024-06-13T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,5,,0,50,lb,,,,
2024-06-13T05:02:29.801Z,Phraks Greyskull LP,,Bent Over Row,0,5,11,,1,50,lb,,,,
2024-06-13T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,100,lb,,,,
2024-06-13T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,5,,0,100,lb,,,,
2024-06-13T05:02:29.801Z,Phraks Greyskull LP,,Squat,0,5,8,,1,100,lb,,,,
